IDNUMBO;PRODA;UGBBO;RATIOBO;;IDNUMCA;UGBCA;PRODA;RATIOCA;;IDNUMHE;UGBHE;PRODA;RATIOHE;;IDNUMOV;UGBOV;PRODA;RATIOOV;;IDNUMPO;UGBPO;PRODA;RATIOPO;;TDTE3;;ZENVI
29859;-2375,2;6;-395,8666667;;;;;;;41884;4;3,72;0,93;;2548;8;7110;888,75;;41029;46;340900;7410,869565;;28857;;0
32056;10259;6;1709,833333;;;;;;;44054;4;4968,04;1242,01;;25973;8;14283;1785,375;;47399;46;333096;7241,217391;;134672;;0
35754;14751;6;2458,5;;;;;;;44370;4;5849,32;1462,33;;26558;8;49388;6173,5;;47461;46;293699;6384,76087;;78026;;0
37050;100677,08;6;16779,51333;;;;;;;45580;4;1478;369,5;;33919;8;19905,81;2488,22625;;48516;46;123498;2684,73913;;38256;;0
38226;7620;6;1270;;;;;;;47184;4;4741,83;1185,4575;;41286;8;13946,4;1743,3;;48637;46;446217,8;9700,386957;;73546;;0
39280;-10258;6;-1709,666667;;;;;;;47838;4;984,7;246,175;;45394;8;30135;3766,875;;46317;46;543572;11816,78261;;125808;;0
39790;10850;6;1808,333333;;;;;;;48456;4;16;4;;47833;8;14722;1840,25;;48621;46;645980,06;14043,04478;;1308;;0
39984;6775,7;6;1129,283333;;;;;;;49348;4;864;216;;47835;8;8512;1064;;41683;46;98131;2133,282609;;4255;;0
40104;11199;6;1866,5;;;;;;;2345;5;9023;1804,6;;48774;8;21330;2666,25;;33643;47;186901;3976,617021;;302895.58;;0
40403;6023,91;6;1003,985;;;;;;;9352;5;64965;12993;;48963;8;14720,95;1840,11875;;46892;47;529551;11267,04255;;32379;;0
43972;1478;6;246,3333333;;;;;;;31873;5;20090,44;4018,088;;48964;8;13003,86;1625,4825;;47327;47;433943;9232,829787;;344258;;0
44208;13784;6;2297,333333;;;;;;;31891;5;67506;13501,2;;49338;8;9603;1200,375;;47345;47;448492,55;9542,394681;;323202;;0
44552;9819,88;6;1636,646667;;;;;;;39475;5;0;0;;49381;8;2782;347,75;;47433;47;549206;11685,23404;;457148;;0
44850;1886,7;6;314,45;;;;;;;42904;5;0;0;;49390;8;9022;1127,75;;47436;47;483369;10284,44681;;304728;;0
45091;19153;6;3192,166667;;;;;;;46734;5;18225;3645;;37274;8;19373;2421,625;;48112;47;557796;11868;;78886.91;;0
45567;3073,58;6;512,2633333;;;;;;;47652;5;-5167;-1033,4;;43950;8;22372,7;2796,5875;;49272;47;457145,03;9726,49;;217362.39;;0
45631;18450;6;3075;;;;;;;48086;5;6927,56;1385,512;;8270;8;13049,03;1631,12875;;49458;47;493489;10499,76596;;526872;;0
46234;34899;6;5816,5;;;;;;;49388;5;4266;853,2;;44571;8;10150,82;1268,8525;;31939;47;520980;11084,68085;;357743;;0
46241;25434,33;6;4239,055;;;;;;;49391;5;3027;605,4;;42465;8;1280,82;160,1025;;42004;47;476137;10130,57447;;10507;;0
46266;-4067;6;-677,8333333;;;;;;;49397;5;521;104,2;;45669;8;13585,02;1698,1275;;47439;47;530641;11290,23404;;83230.55;;0
46270;2941,9;6;490,3166667;;;;;;;46227;5;11850,5;2370,1;;34869;8;21548;2693,5;;45181;47;542828;11549,53191;;7043.29;;0
46312;92662;6;15443,66667;;;;;;;48433;5;-1508;-301,6;;46771;8;44665;5583,125;;41779;47;556234;11834,76596;;371326.28;;0
46552;20609;6;3434,833333;;;;;;;1831;5;6320;1264;;42865;8;75549,48;9443,685;;46292;47;536452,02;11413,87277;;52224.69;;0
46891;232776;6;38796;;;;;;;3577;5;33313,67;6662,734;;44416;8;152365,99;19045,74875;;45971;47;421260;8962,978723;;64802.87;;0
46923;1998;6;333;;;;;;;5659;5;74054;14810,8;;1749;9;15608;1734,222222;;47464;47;361247;7686,106383;;326594.49;;0
47261;19741,27;6;3290,211667;;;;;;;5945;5;5619;1123,8;;1792;9;26375;2930,555556;;48573;47;492266;10473,74468;;1871662.23;;0
47365;193764;6;32294;;;;;;;6299;5;4986;997,2;;2549;9;13363;1484,777778;;46783;47;1266473,95;26946,25426;;52315.72;;0
47385;12551,27;6;2091,878333;;;;;;;17559;5;4223,68;844,736;;7347;9;27519;3057,666667;;35606;48;585499;12197,89583;;262168.61;;0
47386;21555,63;6;3592,605;;;;;;;21925;5;9931;1986,2;;7818;9;20928;2325,333333;;40556;48;607441;12655,02083;;19156;;0
47387;10304;6;1717,333333;;;;;;;23273;5;12353;2470,6;;9464;9;13440;1493,333333;;40725;48;191601;3991,6875;;716264;;0
47705;4487,31;6;747,885;;;;;;;27226;5;507450;101490;;27930;9;21566,92;2396,324444;;41987;48;331992;6916,5;;32911;;0
47763;14970;6;2495;;;;;;;28589;5;3639;727,8;;39507;9;18775;2086,111111;;46299;48;634289;13214,35417;;71488.92;;0
48065;64037,81;6;10672,96833;;;;;;;29434;5;311731;62346,2;;40767;9;13081;1453,444444;;47389;48;189730,81;3952,725208;;39813;;0
48102;18438,71;6;3073,118333;;;;;;;31135;5;10162;2032,4;;43738;9;20322,4;2258,044444;;47411;48;851067;17730,5625;;136397;;0
